Commune,Département (numéro),Département (nom),Région
Arcy-Sainte-Restitue,02,Aisne,Hauts-de-France
Arcy-sur-Cure,89,Yonne,Bourgogne-Franche-Comte
Ardelles,28,Eure-et-Loir,Centre-Val de Loire
Ardelu,28,Eure-et-Loir,Centre-Val de Loire
Ardenais,18,Cher,Centre-Val de Loire
Ardenay-sur-Mérize,72,Sarthe,Pays de la Loire
Ardengost,65,Hautes-Pyrénées,Occitanie
Ardentes,36,Indre,Centre-Val de Loire
Ardes,63,Puy-de-Dôme,Auvergne-Rhone-Alpes
Ardeuil-et-Montfauxelles,08,Ardennes,Grand Est
Ardiège,31,Haute-Garonne,Occitanie
Les Ardillats,69,Rhone,Auvergne-Rhone-Alpes
Ardilleux,79,Deux-Sèvres,Nouvelle-Aquitaine
Ardillières,17,Charente-Maritime,Nouvelle-Aquitaine
Ardin,79,Deux-Sèvres,Nouvelle-Aquitaine
Ardizas,32,Gers,Occitanie
Ardoix,07,Ardèche,Auvergne-Rhone-Alpes
Ardon,39,Jura,Bourgogne-Franche-Comte
Ardon,45,Loiret,Centre-Val de Loire
Ardouval,76,Seine-Maritime,Normandie
Ardres,62,Pas-de-Calais,Hauts-de-France
Aregno,2B,Haute-Corse,Corse
Areines,41,Loir-et-Cher,Centre-Val de Loire
Arelaune-en-Seine,76,Seine-Maritime,Normandie
Aren,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Arengosse,40,Landes,Nouvelle-Aquitaine
Arenthon,74,Haute-Savoie,Auvergne-Rhone-Alpes
Arès,33,Gironde,Nouvelle-Aquitaine
Aresches,39,Jura,Bourgogne-Franche-Comte
Aressy,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Arette,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Arfeuille-Châtain,23,Creuse,Nouvelle-Aquitaine
Arfeuilles,03,Allier,Auvergne-Rhone-Alpes
Arfons,81,Tarn,Occitanie
Argagnon,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Arganchy,14,Calvados,Normandie
Argançon,10,Aube,Grand Est
Argancy,57,Moselle,Grand Est
Argein,09,Ariège,Occitanie
Arlos,31,Haute-Garonne,Occitanie
Armaillé,49,Maine-et-Loire,Pays de la Loire
Armancourt,60,Oise,Hauts-de-France
Armancourt,80,Somme,Hauts-de-France
Armaucourt,54,Meurthe-et-Moselle,Grand Est
Armbouts-Cappel,59,Nord,Hauts-de-France
Armeau,89,Yonne,Bourgogne-Franche-Comte
Armendarits,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Armentières,59,Nord,Hauts-de-France
